"Wijken","number of D66 voters|2018","number of PVV voters|2018","number of PvdA voters|2018","Number of HSP voters|2018","number of VVD voters|2018","number of CDA voters|2018","Number of GdM/OP voters|2018","number of SP voters|2018","Number of GRLKS voters|2018","Number of ID voters|2018","Number of PvdE voters|2018","Number of CU/SGP voters|2018","number of PvdD voters|2018","Number of 14 voters|2018","Number of 50PLUS voters|2018","Number of NIDA voters|2018","Number of Dynamo voters|2018","Number of BSA voters|2018","Number of HT voters|2018","Number of S070 voters|2018"
"01 Oostduinen",,,,,,,,,,,,,,,,,,,,
"02 Belgisch Park",512,145,187,161,889,236,695,64,263,7,3,118,194,25,105,10,5,1,14,5
"03 Westbroekpark/Duttendel",129,19,33,46,341,61,89,10,77,0,2,31,39,0,16,0,5,3,4,0
"04 Benoordenhout",1325,155,324,287,2696,553,355,72,541,3,1,173,316,6,152,9,15,5,7,8
"05 Archipelbuurt",472,72,148,226,630,126,167,42,285,2,0,54,192,1,59,4,16,5,3,2
"06 Van Stolkpark en Schev. Bos",53,7,11,18,107,26,36,3,25,2,0,9,14,0,2,0,0,0,0,2
"07 Scheveningen",612,354,237,333,783,344,1594,118,582,11,10,298,422,16,117,22,16,9,12,14
"08 Duindorp",65,235,40,45,114,62,863,48,92,4,3,159,66,1,22,1,4,1,2,1
"09 Geuzen- en Statenkwartier",1128,200,348,465,1546,397,1333,120,871,6,10,429,413,14,125,17,14,2,21,9
"10 Zorgvliet",219,32,75,120,268,35,86,18,189,3,3,32,91,2,19,3,3,1,1,3
"11 Duinoord",554,52,169,256,526,94,195,50,442,4,11,53,162,2,50,1,12,0,7,6
"12 Bomen- en Bloemenbuurt",1000,198,428,721,1035,358,1202,192,986,11,13,220,540,12,159,14,28,10,17,8
"13 Vogelwijk",588,70,160,227,964,258,348,52,308,2,0,97,169,3,56,4,17,0,4,4
"14 Bohemen, Meer en Bos",363,115,160,169,657,201,699,67,323,7,6,73,216,1,135,7,8,1,6,1
"15 Kijkduin en Ockenburgh",79,30,28,20,153,49,154,11,44,1,0,18,46,1,25,0,0,0,2,1
"16 Kraayenstein en Vroondaal",172,103,102,97,357,165,495,41,154,2,2,59,123,7,63,2,2,5,7,2
"17 Loosduinen",532,599,459,287,881,609,2454,260,510,81,47,271,360,16,276,90,11,8,14,23
"18 Waldeck",628,382,384,425,1027,569,1973,237,607,29,16,213,447,11,254,34,20,7,22,26
"19 Vruchtenbuurt",451,116,174,266,513,209,555,66,474,9,2,95,237,7,68,12,18,5,14,4
"20 Valkenboskwartier",867,262,470,627,499,374,807,221,1127,91,53,164,489,4,102,166,26,14,32,72
"21 Regentessekwartier",688,141,294,595,391,205,418,145,904,82,43,73,359,6,51,118,19,4,22,48
"22 Zeeheldenkwartier",839,128,330,659,678,181,362,134,824,37,28,71,391,8,75,52,19,6,14,13
"23 Willemspark",167,23,48,83,257,47,65,13,100,1,2,17,66,0,20,3,0,0,2,1
"24 Haagse Bos",88,21,36,12,88,37,48,10,76,0,0,8,32,0,9,1,5,0,0,0
"25 Mariahoeve en Marlot",773,296,428,261,950,402,915,214,542,42,68,215,394,16,205,46,11,4,17,25
"26 Bezuidenhout",1155,184,386,350,962,277,605,126,832,24,24,135,351,8,120,26,32,9,21,22
"27 Stationsbuurt",1341,219,541,581,708,298,604,185,1373,133,117,208,449,6,83,156,45,59,62,45
"28 Centrum",2317,447,932,1424,1798,773,1158,354,2174,183,159,449,864,19,231,279,78,56,53,82
"29 Schildersbuurt",450,202,591,176,175,697,813,143,425,1211,1357,131,103,4,37,989,5,6,60,125
"30 Transvaalkwartier",327,224,500,149,174,749,741,132,393,1930,444,112,99,8,59,474,6,16,47,134
"31 Rustenburg en Oostbroek",212,233,142,140,116,152,719,100,214,166,35,119,124,9,48,61,5,4,17,23
"32 Leyenburg",703,634,485,334,641,457,2247,285,729,162,59,326,445,15,285,77,18,16,29,28
"33 Bouwlust/Vrederust",441,480,621,153,324,506,1298,272,478,609,349,166,219,14,189,419,8,4,26,89
"34 Morgenstond",392,351,446,115,308,389,1099,233,438,477,175,181,219,10,158,219,3,5,42,68
"35 Zuiderpark",38,38,46,17,44,36,89,26,56,39,9,18,33,4,12,4,2,0,2,0
"36 Moerwijk",207,248,305,100,136,284,647,176,253,395,263,148,110,5,84,140,2,3,23,63
"37 Groente- en Fruitmarkt",93,21,223,14,28,189,120,22,63,301,57,16,17,0,11,59,0,1,4,16
"38 Laakkwartier en Spoorwijk",801,581,723,321,492,616,1433,353,989,485,466,338,354,13,162,545,17,55,92,151
"39 Binckhorst",39,8,11,28,54,8,25,2,29,3,0,5,26,2,1,3,1,0,4,1
"40 Wateringse Veld",834,399,457,138,1197,497,2054,142,508,201,78,171,255,17,252,178,16,9,39,62
"41 Hoornwijck",,,,,,,,,,,,,,,,,,,,
"42 Ypenburg",1346,558,622,224,1756,549,1667,223,755,103,63,373,416,15,272,136,20,15,37,82
"43 Forepark",,,,,,,,,,,,,,,,,,,,
"44 Leidschenveen",852,422,393,167,1547,449,1256,164,506,74,45,249,280,18,247,96,13,11,36,84
"Unknown",121,32,70,60,180,94,149,30,123,10,3,34,59,0,28,4,3,2,5,7
