Wijken,0 to 4-year-olds,5 to 14-year-olds,15 to 19-year-olds,20 to 44-year-olds,65 to 79-year-olds,80-year-olds and above,45 to 64 year-olds,Dutch,Turkish,Moroccan,Surinamese,South European,Antillean & Aruban,Single-parent household,Living together without children,Living together with children,Single-parent family,Number of private households with a low income,Number of private households with an average income,Number of private households with a high income,"Number of private households, up to €34,100 (2012)","Number of private households with income of €33,100-38,000 (2012)","Number of private households with income of €38,000-43,600 (2012)","Number of private households with income of €43,600 or more (2012)",Number of private households with income from employment,Number of private households with income from unemployment benefits/national assistance,Number of private households with income from WIA benefits,Number of private households with income from pensions,"Number of persons employed in agriculture, forestry and fisheries",Number of persons employed in mining,Number of persons employed in industry,"Number of persons employed in production, distribution and trade in electricity and natural gas","Number of pers. employed in prod./distrib. of water; waste (water) man., decontamin. treatment",Number of persons employed in the building industry,Number of persons employed in wholesale and retailing; car repairs,Number of persons employed in transport and storage,"Number of persons employed in provision of accommodation, meals and drinks",Number of persons employed in information and communication,Number of persons employed in financial institutions,Number of persons employed in property trading and rentals,"Number of persons employed in consultancy, research, special commercial services","Number of persons employed in movable property rentals, other commercial services","Number of persons employed in public administration, government services, social insurance",Number of persons employed in education,Number of persons employed in health care and welfare,"Number of persons employed in culture, sport and recreation",Number of persons employed in extraterritorial organisations and bodies,Number of unemployed job-seekers
01 Oostduinen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,27,,,,320,,,,,,484,
02 Belgisch Park,391,836,565,2432,1226,417,2305,5137,44,74,152,295,77,2112,1090,825,233,1240,1180,1020,1420,160,190,1690,2260,130,60,950,2,1,27,,,57,538,208,752,114,58,174,391,124,892,277,414,141,29,266
03 Westbroekpark/Duttendel,49,205,117,287,495,240,506,1175,0,5,18,41,14,398,274,184,42,210,250,380,210,30,30,570,460,10,10,370,2,,1,,,27,12,1,42,12,26,27,176,57,3312,56,303,62,77,25
04 Benoordenhout,841,1673,664,3411,2291,1313,3432,7876,52,35,136,447,126,2986,1748,1559,316,1300,2040,2710,1330,240,310,4170,3840,80,40,2040,3,855,38,1,1,33,805,38,105,450,361,147,2260,282,2404,711,2627,136,44,211
05 Archipelbuurt,248,563,313,1741,1054,214,1812,3323,30,23,101,218,66,1803,804,534,161,1060,910,970,1060,150,170,1550,1980,90,50,780,3,40,37,,,36,351,3,73,176,695,58,1345,225,1204,127,264,102,143,181
06 Van Stolkpark en Schev. Bos,29,94,55,159,150,112,210,466,2,7,8,15,8,171,86,85,18,90,90,120,100,10,10,190,200,0,0,110,,,1,1,,3,21,,70,20,3,8,379,5,,90,198,112,141,6
07 Scheveningen,889,1572,637,5907,2517,945,4647,11832,90,116,327,414,188,4621,2291,1576,766,4070,2760,1490,4600,430,500,2790,5160,590,280,2160,258,17,196,1,75,318,1428,207,1357,398,164,142,875,218,365,479,1028,1002,3,951
08 Duindorp,411,710,270,1961,673,166,1717,4929,23,28,72,80,41,1224,627,722,302,1400,1040,330,1600,170,200,800,1710,260,140,610,2,,15,,,63,112,6,15,27,2,1,74,68,,69,64,29,,434
09 Geuzen- en Statenkwartier,703,1725,818,4166,2017,572,3920,8246,77,81,224,505,142,3025,1724,1623,423,2120,1940,1990,2390,260,380,3010,4100,220,120,1560,5,1,70,1,,148,1051,18,303,289,141,170,1432,150,,375,1624,171,78,433
10 Zorgvliet,31,28,15,112,139,38,129,268,0,0,3,26,6,113,108,36,11,40,60,100,40,0,10,150,110,0,0,80,,,4,,,3,11,,146,136,6,14,385,470,269,359,156,287,1916,9
11 Duinoord,508,760,322,3074,836,213,1948,4430,40,20,201,320,87,2077,1061,768,200,2120,1200,1070,2180,140,210,1850,2800,780,80,650,,,51,,,58,326,1,211,68,48,179,451,87,309,246,509,161,62,239
12 Bomen- en Bloemenbuurt,848,1476,654,4622,2134,822,4053,9979,108,79,422,410,143,3435,1889,1563,620,2530,3050,1500,2940,430,550,3150,4690,220,160,1950,1,,76,1,,190,936,12,217,117,56,37,547,87,1,740,530,189,,519
13 Vogelwijk,248,902,421,895,791,244,1732,3695,15,4,62,108,32,545,620,800,115,260,560,1130,310,50,70,1530,1330,10,20,590,,,5,,8,28,54,3,15,50,20,28,247,22,,372,558,49,,73
"14 Bohemen, Meer en Bos",140,302,180,977,1211,582,1423,3513,17,6,83,69,38,1574,715,357,149,1120,1120,490,1240,190,210,1070,1360,90,80,1170,,,6,,,35,82,1,47,28,7,10,120,40,,209,422,39,,153
15 Kijkduin en Ockenburgh,49,182,144,433,543,176,744,1646,20,4,46,51,19,362,401,231,54,230,330,400,250,40,50,620,520,20,10,400,1,,5,,54,10,140,7,359,5,3,8,70,46,,362,65,28,,52
16 Kraayenstein en Vroondaal,228,507,275,1470,826,209,1739,3711,79,57,209,88,75,970,679,571,172,750,920,500,870,150,180,970,1430,60,60,600,8,1,19,,,57,173,3,106,28,12,25,145,85,59,69,540,29,,216
17 Loosduinen,800,1773,911,4836,2797,1205,5256,12086,567,505,1052,229,236,3496,2204,1885,837,3490,3210,1290,4170,490,610,2720,4590,530,350,2420,24,,2898,3,183,947,1541,1814,191,85,46,60,367,1147,939,448,1336,121,11,937
18 Waldeck,746,1329,635,4289,3850,1751,4605,11645,351,406,768,294,289,4813,2391,1340,789,4270,3500,1000,4920,570,680,2600,4160,650,370,3440,20,,34,,1,266,904,27,55,55,23,27,216,110,107,504,4845,129,,1012
19 Vruchtenbuurt,590,1149,515,3138,1171,359,2790,7187,64,27,223,189,104,1697,1201,1217,423,1330,1870,1170,1600,260,300,2210,3190,150,90,900,1,,20,,,181,252,10,71,62,21,23,241,66,,120,622,65,,371
20 Valkenboskwartier,1115,1724,793,8531,1449,318,4356,9100,509,461,2175,487,382,5045,2257,1689,954,4800,3080,1070,5580,520,600,2250,6520,820,360,1100,34,,61,3,,443,612,183,202,159,16,25,432,120,272,231,474,278,,1564
21 Regentessekwartier,751,1135,507,6387,1055,248,3146,6442,476,471,1443,409,350,3973,1767,1115,533,3490,2020,1010,3900,350,410,1860,4770,590,270,780,17,,56,,,206,713,27,200,116,9,39,516,92,413,200,604,323,,1371
22 Zeeheldenkwartier,565,945,451,5630,994,186,2917,6077,256,433,608,465,281,3937,1506,838,442,3060,1690,950,3300,260,360,1780,3990,580,270,670,,,124,,1,113,885,18,523,218,223,122,960,140,116,331,879,367,307,844
23 Willemspark,75,101,41,621,215,41,409,734,17,8,7,93,17,589,220,111,32,340,250,250,330,40,70,410,630,20,20,170,,7,14,,,12,421,,280,162,472,117,687,149,35,163,211,46,156,62
24 Haagse Bos,14,10,4,144,79,92,79,215,2,1,3,21,5,198,55,14,5,100,90,30,100,20,10,100,120,10,10,100,14,,3,,,,1,1,28,11,10,11,472,31,227,88,179,5,,9
25 Mariahoeve en Marlot,821,1215,455,4948,2147,1133,3382,6915,316,472,743,326,422,4768,1597,1102,712,4500,2440,810,4870,430,530,1930,4030,890,320,2350,4,334,11,,1,120,486,38,92,80,2125,27,463,43,442,474,753,130,,1243
26 Bezuidenhout,1063,1335,780,7563,1579,435,3764,8573,224,285,681,751,314,5064,2320,1459,612,3250,3230,1730,3560,520,590,3520,5960,540,210,1390,3,86,1664,75,2,1303,1451,2621,335,1359,2482,115,6110,212,9084,1078,1087,761,9,904
27 Stationsbuurt,621,901,771,6911,776,152,2240,3589,661,883,1087,440,1040,5170,1387,763,508,2920,1210,450,3270,190,220,910,2910,750,200,580,17,2,61,5,17,183,631,1237,519,685,275,395,1192,276,3503,567,430,164,11,1160
28 Centrum,816,1176,692,9568,1928,338,4697,8422,573,1019,1216,817,636,7596,2733,1011,776,5430,2960,1360,5850,470,570,2860,6440,1140,390,1520,11,2,264,,1,350,5679,193,3825,1005,671,167,2895,538,17498,951,4903,1636,491,1595
29 Schildersbuurt,2063,4396,2620,11268,2509,389,7937,2623,8583,7109,5134,357,836,6036,2174,3533,2038,8220,3470,680,10420,400,470,1070,5990,2920,1220,1970,260,,78,,12,526,580,116,216,62,20,13,181,599,369,813,900,153,,4723
30 Transvaalkwartier,1213,2279,1164,6389,1186,254,3732,1200,4601,2187,3307,499,331,3110,1308,1940,838,3960,1890,420,5030,260,250,720,3770,1000,490,890,246,,93,,6,528,744,72,225,33,10,15,85,251,20,454,527,59,,1934
31 Rustenburg en Oostbroek,1399,2102,951,8619,1235,240,4184,6639,2526,541,2225,552,429,4126,2126,2120,942,4590,3200,510,5770,540,600,1400,6120,670,400,1000,342,,48,,,724,626,44,140,123,22,24,166,227,,203,333,71,,1741
32 Leyenburg,797,1362,693,5428,1827,891,3866,9545,533,262,939,316,240,3614,1876,1515,757,3510,3150,700,4190,530,640,2000,4780,380,270,1880,32,,16,,,306,783,36,61,34,11,23,128,133,9,177,3965,35,,805
33 Bouwlust/Vrederust,2179,3573,1551,10166,3034,1444,6286,8581,5165,3788,2870,388,1009,6337,2563,3019,1678,7780,3910,840,9310,660,680,1890,6470,1850,790,3170,280,,78,,39,538,796,113,71,80,8,18,170,333,114,570,1587,138,,3099
34 Morgenstond,1491,1948,813,7385,1830,664,4539,6251,2777,1680,2395,310,627,5198,1782,1859,1158,6110,2680,630,6930,480,480,1530,5100,1520,600,1940,161,,41,,4,410,954,62,185,61,25,58,211,172,288,225,530,99,,2101
35 Zuiderpark,0,1,0,1,58,34,26,99,4,0,3,2,0,84,18,0,0,110,20,0,110,0,0,10,20,10,0,80,,,,,,2,10,,34,,,2,7,170,285,3,5,71,,1
36 Moerwijk,1774,2424,996,8367,1608,711,4705,5576,2587,2537,2277,331,990,5834,1684,1922,1442,7060,2440,400,8060,410,400,1040,5110,2180,660,1650,172,,29,1,7,517,423,272,91,51,11,3,130,213,83,428,563,35,,3075
37 Groente- en Fruitmarkt,372,724,438,2053,284,36,1252,577,2022,410,879,135,88,772,403,704,253,1050,670,200,1400,90,110,320,1290,240,150,210,214,,72,,1,373,355,690,32,20,3,32,111,275,276,43,275,11,,482
38 Laakkwartier en Spoorwijk,2832,4560,2481,18551,2676,574,9270,9971,3552,3835,6546,875,1978,10015,4258,4236,2347,10520,5720,1080,12830,920,990,2580,11230,2460,980,2260,201,1,314,,6,1527,2050,196,296,2294,13,401,574,410,1391,2809,1477,236,3,4401
39 Binckhorst,11,19,60,1114,9,3,420,449,108,228,187,32,198,153,28,4,2,90,30,10,100,0,10,10,80,20,10,10,,175,212,2,261,541,736,123,113,4380,63,21,921,484,,131,1194,141,1120,53
40 Wateringse Veld,1370,3406,1690,6528,1659,552,6418,12241,1549,1173,2530,351,361,1918,1845,3448,883,1880,2980,2480,2570,340,490,3940,5610,350,230,1090,66,,26,,3,340,671,73,80,162,21,31,361,199,,438,1017,97,,904
41 Hoornwijck,7,24,9,38,27,11,59,152,0,0,0,0,1,27,20,19,5,20,30,30,20,0,0,50,40,0,0,20,1,,179,6,269,582,654,211,62,323,5,18,1006,196,571,10,99,172,,7
42 Ypenburg,1770,4911,2184,8452,1637,173,8071,16005,1061,800,2740,566,509,2229,2210,4429,1243,2360,3630,3480,3160,430,560,5340,7650,500,310,910,45,,47,,7,312,668,80,113,226,73,35,765,290,774,706,726,129,,1206
43 Forepark,4,5,7,31,36,5,60,129,0,0,4,2,1,23,23,20,3,30,20,20,30,0,0,30,40,0,0,30,1,,405,13,,409,1903,1343,46,397,21,42,699,1996,62,62,24,193,,6
44 Leidschenveen,1377,3733,1515,6425,1318,346,5989,12501,631,783,2410,299,377,1442,1719,3586,693,1310,3030,2710,1910,350,480,4310,5840,240,160,770,21,1,36,,1,174,665,84,51,222,13,15,437,102,1095,856,683,75,,764
,,,,,,,,,,,,,,,,,,20,-80,-10,-30,10,-10,-30,-50,-60,-10,-130,,,,,,,,,,,,,,,,,,,,82
